STATE,YEAR,MONTH_NAME,DATE,EVENT_TYPE,GRP_STORM,N_GRP_STORM,GRP_DISTRICT,N_GRP_DISTRICT,COUNTY,LOCATION,INJURIES_DIRECT,INJURIES_INDIRECT,INJURIES,DEATHS_DIRECT,DEATHS_INDIRECT,DEATHS,DAMAGE_PROPERTY,DAMAGE_CROPS, COST (BN) ,EVENT_NARRATIVE
TEXAS,2016,February,2/10/2016,Drought,Drought,1,DISTRICT 1 - AMARILLO,1,HARTLEY,"35.685842,-102.330294",0,0,0,0,0,0,0,0,,Extreme Drought (D3) as depicted on the U.S. Drought Monitor.
TEXAS,2015,October,10/1/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,PARKER,"32.753927,-97.786026",0,0,0,0,0,0,0,2000,"$9,500,000,000","The northeastern portions of Parker County started the month in D3/Extreme drought conditions, while the rest of the county was in D4/Exceptional drought. By the second week, all areas of the county were in D4/Exceptional drought and stayed there through the remainder of the month."
TEXAS,2015,April,4/1/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,TARRANT,"32.771419,-97.291484",0,0,0,0,0,0,0,0,,Severe/D2 drought conditions returned across the southern half of the county after a few months of below normal rainfall.
TEXAS,2015,November,11/17/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,TARRANT,"32.771419,-97.291484",0,0,0,0,0,0,0,1000,"$9,500,000,000","Tarrant County started the month of April in D3/Extreme drought conditions, but by late April, only the southern half of the county had D3/Extreme drought, while the northern half had improved to D2/Severe drought. By the end of the month, only D2/Severe drought conditions persisted across the county due to multiple rounds of precipitation."
TEXAS,2015,November,11/17/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,TARRANT,"32.771419,-97.291484",0,0,0,0,0,0,0,1000,"$9,500,000,000","Severe/D2 conditions in place county-wide at the beginning of September improved during the middle of the month due to a couple of rainfall events across the region. However, severe drought conditions returned during the final week of the month as a dry weather pattern reestablished itself over the area."
TEXAS,2016,April,4/26/2016,Drought,Drought,1,DISTRICT 3 - WICHITA FALLS,3,COTTLE,"34.057594,-100.261784",0,0,0,0,0,0,0,0,,
TEXAS,2016,August,8/2/2016,Drought,Drought,1,DISTRICT 1 - AMARILLO,1,OLDHAM,"35.211942,-102.200425",0,0,0,0,0,0,0,0,,Severe Drought (D2) as depicted on the U.S. Drought Monitor.
TEXAS,2016,May,5/29/2016,Drought,Drought,1,DISTRICT 1 - AMARILLO,1,HUTCHINSON,"35.631621,-101.599447",0,0,0,0,0,0,0,0,,Extreme Drought (D3) as depicted on the U.S. Drought Monitor.
TEXAS,2016,March,3/23/2016,Drought,Drought,1,DISTRICT 1 - AMARILLO,1,WHEELER,"35.401181,-100.270306",0,0,0,0,0,0,0,0,,Extreme Drought (D3) as depicted on the U.S. Drought Monitor.
TEXAS,2016,November,11/1/2016,Drought,Drought,1,DISTRICT 6 - TYLER,6,ANDERSON,"31.992987,-95.499133",0,0,0,0,0,0,0,0,,D2/Severe drought conditions were in place across Anderson County for all of November 2016.
TEXAS,2015,December,12/13/2015,Drought,Drought,1,DISTRICT 6 - TYLER,6,ANDERSON,"31.992987,-95.499133",0,0,0,0,0,0,0,0,,Severe/D2 drought conditions returned across the county after a few months of below normal rainfall.
TEXAS,2015,November,11/5/2015,Drought,Drought,1,DISTRICT 6 - TYLER,6,ANDERSON,"31.992987,-95.499133",0,0,0,0,0,0,0,1000,"$9,500,000,000","Extreme/D3 drought conditions were in place across the southwestern third of Anderson County at the beginning of September 2015. These conditions gradually expanded over the course of the month, and included all of the county by the month's end."
TEXAS,2016,April,4/27/2016,Drought,Drought,1,DISTRICT 12 - AUSTIN,12,BLANCO,"30.414943,-98.356711",0,0,0,0,0,0,0,0,,"After two months with less than 50 percent of normal rainfall, Bastrop, Blanco, and Caldwell Counties entered Severe Drought category (Stage D2). All three counties had burn bans in effect at the end of the month. The Texas Crop and Weather Report issued by Texas A&M indicated pastures and rangeland were declining due to hot and dry conditions. The seven day stream flow average at the end of the month was much below normal (less than 10 percent) in the Middle Guadalupe River basin. The Edwards Aquifer fell during the month and was at 646.5 feet. This was 17.9 feet higher than at the end of August 2014, but 14 feet below average. The Barton Springs Edwards Aquifer Conservation District was in Stage 1 (10 percent reduction) drought status."
TEXAS,2016,June,6/2/2016,Drought,Drought,1,DISTRICT 12 - AUSTIN,12,BLANCO,"30.414943,-98.356711",0,0,0,0,0,0,0,0,,"Most of South Central Texas had less than normal precipitation in September with many counties getting less than 25% of normal. The result of this dryness was Burnet, Gillespie, Kendall, Llano, Williamson, Wilson, and Zavala Counties went into severe drought category (Stage D2) and Guadalupe County went into extreme drought category (Stage D3). Bastrop, Blanco, and Caldwell Counties remained in Stage D2. Of the counties in Stage D2 or worse all had burn bans in effect at the end of the month except Zavala. The Texas Crop and Weather Report issued by Texas A&M indicated grasses were becoming dry and some ranchers were feeding hay due to poor grazing conditions. The seven day stream flow average at the end of the month was much below normal (less than 10 percent) in the Colorado and Lower Nueces River basins and below normal (10-24 percent) in the Lower Guadalupe basin. The Edwards Aquifer fell during the month and was at 645.2 feet. This was 14.6 feet higher than at the end of September 2014, but 18.1 feet below average. The Barton Springs Edwards Aquifer Conservation District was in Stage 1 (10 percent reduction) drought status. Area lakes and reservoirs continued below normal pool elevations. Lake Buchanan was 14.3 feet below normal and Lake Georgetown was 9.2 feet below normal. Fredericksburg remained in stage 3 water restrictions."
TEXAS,2016,April,4/26/2016,Drought,Drought,1,DISTRICT 7 - ABILENE,7,BROWN,"31.763882,-98.936021",0,0,0,0,0,0,0,0,,The U.S. Drought Monitor indicated the eastern half of Brown County was in severe drought.
TEXAS,2015,May,5/28/2015,Drought,Drought,1,DISTRICT 22 - SHERMAN,22,COOKE,"33.490924,-97.313913",0,0,0,0,0,0,0,0,,"The far southern portions of Cooke County spent most of the month in D2/Severe drought conditions, but some improvement was noted near the end of the month after several rounds of winter precipitation."
TEXAS,2016,November,11/5/2016,Drought,Drought,1,DISTRICT 11 - WACO,11,CORYELL,"31.417739,-97.833033",0,0,0,0,0,0,0,0,,"Severe/D2 drought conditions returned across the county after a few months of below normal rainfall. However, conditions quickly improved by the end of the month."
TEXAS,2015,November,11/5/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,DENTON,"33.077136,-96.901605",0,0,0,0,0,0,0,1000,"$9,500,000,000","Denton County Spent January of 2015 mainly in a state of Severe/D2 drought. The only exception was a strip of D3/Extreme drought, which covered the far southern portions of the county."
TEXAS,2015,September,9/8/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,JOHNSON,"32.317774,-97.440849",0,0,0,0,0,0,0,2000,"$9,500,000,000","Johnson County spent all of January, 2015 with Exceptional/D4 conditions over the northwestern corner of the county, and Extreme/D3 across the rest of the county."
TEXAS,2015,November,11/27/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,JOHNSON,"32.317774,-97.440849",0,0,0,0,0,0,0,2000,"$9,500,000,000","The majority of Johnson County started the month in D3/Extreme drought conditions, but the far northwestern areas were under D4/Exceptional drought. By the end of the month, all areas of the county were in D3/Extreme drought after multiple rounds of winter precipitation affected the area."
TEXAS,2015,November,11/27/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,JOHNSON,"32.317774,-97.440849",0,0,0,0,0,0,0,2000,"$9,500,000,000","Johnson County started the month of April in D3/Extreme drought conditions but improved to D2/Severe drought conditions by late April due to multiple rounds of precipitation. By the end of the month, the drought had improved further."
TEXAS,2016,May,5/19/2016,Drought,Drought,1,DISTRICT 18 - SAN ANTONIO,18,KENDALL,"29.945489,-98.712767",0,0,0,0,0,0,0,0,,"January was generally a wet month across South Central Texas with most areas getting normal or above rain. No county moved into a worse drought category. Medina County stayed in Extreme Drought category (Stage D3) and Bandera, De Witt, Edwards, Gillespie, Kendall, Kerr, and Val Verde remained in Severe Drought category (Stage D2). Fire danger was low across the area at the end of the month and of the counties in D2 or worse drought only De Witt, Medina, and Val Verde had burn bans remaining in effect. The seven day stream flow average at the end of the month was below normal (10-24 percent) for the Guadalupe River basin. The Medina, Frio, and Nueces River Basins were much below normal (less than 10 percent). Area lakes and reservoirs continued well below normal pool elevations. Lake Amistad rose slightly during the month but was still 29.1 feet below normal. Lake Travis was also up at 55.6 feet below normal. Medina Lake improved slightly and was 89.5 feet below normal. The Edwards Aquifer rose during the month and was at 645.7 feet. This was actually 2.3 feet higher than at the end of January 2014 but still 23.6 feet below average. The rain during the month allowed the Barton Springs Edwards Aquifer Conservation District to end water restrictions. Fredericksburg remained in stage 3 water restrictions and Kerrville remained in stage 2."
TEXAS,2015,December,12/13/2015,Drought,Drought,1,DISTRICT 11 - WACO,11,MCLENNAN,"31.335232,-97.336265",0,0,0,0,0,0,0,1000,"$9,500,000,000","McClennan County had only small sections of Severe/D2 drought nosing into the edges of the county during the first half of September. These conditions expanded to include all of the county during the third week of the month, and subsequently remained in place through the end of the month."
TEXAS,2016,May,5/17/2016,Drought,Drought,1,DISTRICT 18 - SAN ANTONIO,18,MEDINA,"29.511723,-98.938654",0,0,0,0,0,0,0,0,,"January was generally a wet month across South Central Texas with most areas getting normal or above rain. No county moved into a worse drought category. Medina County stayed in Extreme Drought category (Stage D3) and Bandera, De Witt, Edwards, Gillespie, Kendall, Kerr, and Val Verde remained in Severe Drought category (Stage D2). Fire danger was low across the area at the end of the month and of the counties in D2 or worse drought only De Witt, Medina, and Val Verde had burn bans remaining in effect. The seven day stream flow average at the end of the month was below normal (10-24 percent) for the Guadalupe River basin. The Medina, Frio, and Nueces River Basins were much below normal (less than 10 percent). Area lakes and reservoirs continued well below normal pool elevations. Lake Amistad rose slightly during the month but was still 29.1 feet below normal. Lake Travis was also up at 55.6 feet below normal. Medina Lake improved slightly and was 89.5 feet below normal. The Edwards Aquifer rose during the month and was at 645.7 feet. This was actually 2.3 feet higher than at the end of January 2014 but still 23.6 feet below average. The rain during the month allowed the Barton Springs Edwards Aquifer Conservation District to end water restrictions. Fredericksburg remained in stage 3 water restrictions and Kerrville remained in stage 2."
TEXAS,2015,September,9/1/2015,Drought,Drought,1,DISTRICT 11 - WACO,11,MILAM,"30.973648,-96.964199",0,0,0,0,0,0,0,1000,"$9,500,000,000",Severe/D2 conditions in place at the beginning of September deteriorated to Extreme/D3 about a week in due to a continued lack of significant rainfall. These conditions remained in place through the end of the month.
TEXAS,2016,April,4/27/2016,Drought,Drought,1,DISTRICT 6 - TYLER,6,SMITH,"32.288029,-95.200403",0,0,0,0,0,0,0,0,,
TEXAS,2015,November,11/27/2015,Drought,Drought,1,DISTRICT 4 - HURST/GARLAND,4,TARRANT,"32.771419,-97.291484",0,0,0,0,0,0,0,2000,"$9,500,000,000","The majority of Tarrant County started the month in D3/Extreme drought conditions, with the far southwestern areas under D4/Exceptional drought. By the second week, all areas of the county were in D4/Exceptional drought and stayed there through the remainder of the month."
TEXAS,2016,April,4/17/2016,Drought,Drought,1,DISTRICT 12 - AUSTIN,12,WILLIAMSON,"30.487161,-97.367571",0,0,0,0,0,0,0,0,,South Central Texas had several very heavy rain events and much of the region received five to 20 inches of rain during the month. This was two to four times normal rainfall in many places. The excessive rainfall was sufficient to move all of our counties out of Severe (Stage D2) drought category.
TEXAS,2016,April,4/21/2016,Drought,Drought,1,DISTRICT 14 - LUFKIN,14,ANGELINA,"31.335094,-94.703921",0,0,0,0,0,0,0,0,,
TEXAS,2016,August,8/3/2016,Drought,Drought,1,DISTRICT 14 - LUFKIN,14,ANGELINA,"31.335094,-94.703921",0,0,0,0,0,0,0,0,,
TEXAS,2016,July,7/24/2016,Drought,Drought,1,DISTRICT 14 - LUFKIN,14,ANGELINA,"31.335094,-94.703921",0,0,0,0,0,0,0,0,,
TEXAS,2016,July,7/3/2016,Drought,Drought,1,DISTRICT 14 - LUFKIN,14,ANGELINA,"31.335094,-94.703921",0,0,0,0,0,0,0,0,,
TEXAS,2016,April,4/19/2016,Drought,Drought,1,DISTRICT 3 - WICHITA FALLS,3,ARCHER,"33.6167695,-98.6836699",0,0,0,0,0,0,0,0,,
TEXAS,2016,April,4/11/2016,Drought,Drought,1,DISTRICT 3 - WICHITA FALLS,3,ARCHER,"33.6167695,-98.6836699",0,0,0,0,0,0,0,0,,"With persistent dry weather, D3 (extreme) to D4 (exceptional) drought persisted."
TEXAS,2016,April,4/11/2016,Drought,Drought,1,DISTRICT 3 - WICHITA FALLS,3,ARCHER,"33.6167695,-98.6836699",0,0,0,0,0,0,0,0,,"With dry and mild conditions through the month, D3 (extreme) to D4 (exceptional) drought persisted."
TEXAS,2016,July,7/4/2016,Drought,Drought,1,DISTRICT 3 - WICHITA FALLS,3,ARCHER,"33.6167695,-98.6836699",0,0,0,0,0,0,0,0,,"With dry and mild conditions through the month, D3 (extreme) to D4 (exceptional) drought persisted."
TEXAS,2015,September,9/15/2015,Drought,Drought,1,DISTRICT 3 - WICHITA FALLS,3,ARCHER,"33.6167695,-98.6836699",0,0,0,0,0,0,0,0,,"With persisting dry conditions, the northern half of the country remains under a D4 (exceptional) drought, while the southern half of the county remains under a D3 (extreme) drought."
TEXAS,2015,March,3/1/2015,Drought,Drought,1,DISTRICT 3 - WICHITA FALLS,3,ARCHER,"33.6167695,-98.6836699",0,0,0,0,0,0,0,0,,
TEXAS,2015,January,1/1/2015,Drought,Drought,1,DISTRICT 3 - WICHITA FALLS,3,ARCHER,"33.6167695,-98.6836699",0,0,0,0,0,0,0,0,,"With record rainfall throughout the month of May, drought was completely eradicated throughout the county."
TEXAS,2016,March,3/23/2016,Drought,Drought,1,DISTRICT 1 - AMARILLO,1,ARMSTRONG,"35.133039,-101.460835",0,0,0,0,0,0,0,0,,Severe Drought (D2) as depicted on the U.S. Drought Monitor.
TEXAS,2016,March,3/23/2016,Drought,Drought,1,DISTRICT 1 - AMARILLO,1,ARMSTRONG,"35.133039,-101.460835",0,0,0,0,0,0,0,0,,Severe Drought (D2) as depicted on the U.S. Drought Monitor.
TEXAS,2016,May,5/11/2016,Drought,Drought,1,DISTRICT 1 - AMARILLO,1,ARMSTRONG,"35.133039,-101.460835",0,0,0,0,0,0,0,0,,Severe Drought (D2) as depicted on the U.S. Drought Monitor.
TEXAS,2016,May,5/29/2016,Drought,Drought,1,DISTRICT 18 - SAN ANTONIO,18,BANDERA,"29.724328,-99.104014",0,0,0,0,0,0,0,0,,"January was generally a wet month across South Central Texas with most areas getting normal or above rain. No county moved into a worse drought category. Medina County stayed in Extreme Drought category (Stage D3) and Bandera, De Witt, Edwards, Gillespie, Kendall, Kerr, and Val Verde remained in Severe Drought category (Stage D2). Fire danger was low across the area at the end of the month and of the counties in D2 or worse drought only De Witt, Medina, and Val Verde had burn bans remaining in effect. The seven day stream flow average at the end of the month was below normal (10-24 percent) for the Guadalupe River basin. The Medina, Frio, and Nueces River Basins were much below normal (less than 10 percent). Area lakes and reservoirs continued well below normal pool elevations. Lake Amistad rose slightly during the month but was still 29.1 feet below normal. Lake Travis was also up at 55.6 feet below normal. Medina Lake improved slightly and was 89.5 feet below normal. The Edwards Aquifer rose during the month and was at 645.7 feet. This was actually 2.3 feet higher than at the end of January 2014 but still 23.6 feet below average. The rain during the month allowed the Barton Springs Edwards Aquifer Conservation District to end water restrictions. Fredericksburg remained in stage 3 water restrictions and Kerrville remained in stage 2."
TEXAS,2016,May,5/29/2016,Drought,Drought,1,DISTRICT 18 - SAN ANTONIO,18,BANDERA,"29.724328,-99.104014",0,0,0,0,0,0,0,0,,"Most of Bandera County received 150% to 200% of normal rainfall in April and this was enough to move them from Extreme (Stage D3) drought category to Severe (Stage D2). Gillespie (D3), Kerr (D3), and Llano (D2) Counties remained unchanged in April despite getting above normal rainfall. The seven day stream flow average at the end of the month was below normal (10-24 percent) for the Upper Guadalupe River Basin and much below normal (less than 10 percent) for the Frio River Basin. Area lakes and reservoirs continued well below normal pool elevations. Lake Amistad was up slightly to 28.6 feet below normal. Lake Travis was also up slightly at 51.8 feet below normal. Medina Lake was up nearly two feet but was still 87.9 feet below normal. The Edwards Aquifer rose during the month and was at 647.2 feet. This was 8.5 feet higher than at the end of April 2014 but still 20.2 feet below average. Fredericksburg remained in stage 3 water restrictions and Kerrville remained in stage 2."
TEXAS,2016,May,5/30/2016,Drought,Drought,1,DISTRICT 18 - SAN ANTONIO,18,BANDERA,"29.724328,-99.104014",0,0,0,0,0,0,0,0,,"February was a dry month across South Central Texas with some places getting less than half an inch of rain for the month. This put Llano and Real Counties in Severe Drought category (Stage D2). Bandera, Edwards, Gillespie, and Kerr Counties all moved from Severe to Extreme Drought (Stage D3). Medina County stayed in Stage D3 and De Witt, Kendall, and Val Verde remained in Stage D2. Fire danger was low to moderate across the area at the end of the month and of the counties in D2 or worse drought only De Witt, Medina, and Val Verde had burn bans remaining in effect. The Texas Crop and Weather Report issued by Texas A&M indicated supplemental feeding of livestock continued. The seven day stream flow average at the end of the month was below normal (10-24 percent) for the Colorado River Basin. The Guadalupe, Medina, Frio, and Nueces River Basins were much below normal (less than 10 percent). Area lakes and reservoirs continued well below normal pool elevations. Lake Amistad remained 29.1 feet below normal. Lake Travis was up slightly at 55.2 feet below normal. Medina Lake dropped slightly and was 89.7 feet below normal. The Edwards Aquifer dropped during the month and was at 644.2 feet. This was actually 2.6 feet higher than at the end of February 2014 but still 24.4 feet below average. Fredericksburg remained in stage 3 water restrictions and Kerrville remained in stage 2."
